timestamp,accel_x,accel_y,accel_z,magnitud
2026-04-25 15:24:46.061,-0.078125,-0.058594,1.074219,1.078649
2026-04-25 15:24:46.859,-0.09375,-0.082031,1.066406,1.073658
2026-04-25 15:24:47.937,-0.082031,-0.046875,1.078125,1.082257
2026-04-25 15:24:48.991,-0.074219,-0.054688,1.070313,1.074276
2026-04-25 15:24:50.191,-0.078125,-0.058594,1.070313,1.074758
2026-04-25 15:24:51.442,-0.074219,-0.054688,1.074219,1.078167
2026-04-25 15:24:51.978,-0.078125,-0.058594,1.070313,1.074758
2026-04-25 15:24:52.866,-0.078125,-0.058594,1.070313,1.074758
2026-04-25 15:24:54.002,-0.078125,-0.054688,1.074219,1.078443
2026-04-25 15:24:54.915,-0.074219,-0.0625,1.078125,1.082482
2026-04-25 15:24:55.937,-0.558594,0.847656,1.019531,1.438747
2026-04-25 15:24:57.014,0.375,-0.085938,1.023438,1.093359
2026-04-25 15:24:58.278,-0.34375,1.371094,0.570313,1.524244
2026-04-25 15:24:59.029,-0.160156,0.339844,1.042969,1.10857
2026-04-25 15:25:00.233,-0.207031,0.136719,1.082031,1.110111
2026-04-25 15:25:02.005,-0.613281,0.25,0.867188,1.091159
2026-04-25 15:25:02.009,-0.753906,0.324219,0.691406,1.073096
2026-04-25 15:25:03.058,-0.761719,0.332031,0.671875,1.068586
2026-04-25 15:25:04.433,-0.386719,0.160156,0.894531,0.987617
2026-04-25 15:25:05.064,0.355469,0.101563,0.945313,1.015031
2026-04-25 15:25:05.899,0.371094,0.132813,0.949219,1.027797
2026-04-25 15:25:06.894,0.207031,0.484375,0.953125,1.089003
2026-04-25 15:25:08.219,-0.089844,0.898438,0.402344,0.988505
2026-04-25 15:25:08.842,-0.101563,0.914063,0.367188,0.990279
2026-04-25 15:25:09.966,-0.113281,0.925781,0.34375,0.994016
2026-04-25 15:25:11.086,0.019531,-0.605469,0.902344,1.086829
2026-04-25 15:25:11.844,0.023438,-0.558594,0.929688,1.084848
2026-04-25 15:25:12.931,0.019531,-0.484375,0.957031,1.072804
2026-04-25 15:25:14.051,-0.304688,0.269531,0.980469,1.061509
2026-04-25 15:25:20.408,-0.019531,0.121094,1.023438,1.030762
2026-04-25 15:25:20.415,0.410156,-0.078125,0.964844,1.051311
2026-04-25 15:25:20.418,0.414063,-0.101563,0.972656,1.06199
2026-04-25 15:25:20.420,0.324219,0.066406,1.011719,1.064473
2026-04-25 15:25:20.421,0.316406,0.109375,1.429688,1.46836
2026-04-25 15:25:20.426,-0.066406,0.011719,0.769531,0.77248
2026-04-25 15:25:21.109,-0.019531,0.046875,0.980469,0.981783
2026-04-25 15:25:22.046,0.011719,0.070313,1.183594,1.185738
2026-04-25 15:25:23.111,-0.007813,0.101563,1.164063,1.168511
2026-04-25 15:25:24.194,0.003906,0.058594,0.941406,0.943236
2026-04-25 15:25:25.127,-0.019531,0.054688,0.941406,0.943196
2026-04-25 15:25:26.639,0.007813,0.050781,1.136719,1.137879
2026-04-25 15:25:26.869,-0.039063,0.160156,1.152344,1.164076
2026-04-25 15:25:28.068,-0.003906,0.074219,0.941406,0.944335
2026-04-25 15:25:30.446,0,0.097656,1.164063,1.168152
2026-04-25 15:25:30.446,-0.023438,0.070313,0.984375,0.987161
2026-04-25 15:25:31.046,0,0.054688,1.019531,1.020997
2026-04-25 15:25:33.154,0.007813,0.148438,1.234375,1.243293
2026-04-25 15:25:33.155,-0.011719,0.097656,1.007813,1.012601
2026-04-25 15:25:34.134,0,0.050781,0.953125,0.954477
2026-04-25 15:25:36.783,0.042969,0.117188,1.164063,1.170735
2026-04-25 15:25:36.789,-0.003906,0.125,1.167969,1.174645
2026-04-25 15:25:37.033,-0.019531,0.121094,1.0625,1.069557
2026-04-25 15:25:38.130,0.007813,0.109375,0.90625,0.91286
2026-04-25 15:25:39.275,0.007813,0.113281,1.050781,1.056899
2026-04-25 15:25:41.607,0,0.121094,1.046875,1.053855
2026-04-25 15:25:41.611,-0.011719,0.121094,1.074219,1.081086
2026-04-25 15:25:41.926,0.023438,0.160156,1.0625,1.074758
2026-04-25 15:25:43.129,0.050781,0.15625,1.011719,1.024972
2026-04-25 15:25:45.277,0.003906,0.160156,0.816406,0.831976
2026-04-25 15:25:45.278,-0.039063,0.160156,1.050781,1.063634
2026-04-25 15:25:47.643,0.113281,0.207031,1.070313,1.096022
2026-04-25 15:25:47.644,0.191406,0.050781,1.628906,1.640899
2026-04-25 15:25:48.292,0.007813,0.0625,0.597656,0.600966
2026-04-25 15:25:49.177,0.605469,0.339844,2.21875,2.324852
2026-04-25 15:25:51.629,-0.046875,0.269531,0.734375,0.783678
2026-04-25 15:25:51.634,-0.171875,0.523438,1.09375,1.22467
2026-04-25 15:25:53.998,0.269531,-1.226563,0.472656,1.34183
2026-04-25 15:25:54.000,-0.195313,0.125,0.980469,1.007517
2026-04-25 15:25:54.314,-0.144531,0.09375,0.847656,0.864985
2026-04-25 15:25:55.026,-0.09375,-0.042969,1.070313,1.075269
2026-04-25 15:25:56.239,-0.335938,-0.40625,0.019531,0.527517
2026-04-25 15:25:58.201,-0.703125,-0.148438,0.695313,0.999939
2026-04-25 15:25:58.203,-0.070313,-0.046875,1.042969,1.046387
2026-04-25 15:25:58.915,-0.082031,-0.03125,1.070313,1.073906
2026-04-25 15:25:59.963,-0.058594,-0.042969,1.070313,1.072776
2026-04-25 15:26:01.117,-0.082031,-0.027344,1.070313,1.0738
2026-04-25 15:26:02.287,-0.085938,-0.023438,1.074219,1.077906
2026-04-25 15:26:03.047,-0.078125,-0.039063,1.066406,1.069977
2026-04-25 15:26:04.230,-0.074219,-0.039063,1.074219,1.077488
2026-04-25 15:26:05.248,-0.078125,-0.03125,1.074219,1.077509
2026-04-25 15:26:06.218,-0.078125,-0.027344,1.066406,1.069614
2026-04-25 15:26:07.293,-0.078125,-0.035156,1.070313,1.073736
2026-04-25 15:26:08.218,-0.074219,-0.035156,1.078125,1.081248
2026-04-25 15:26:09.295,-0.078125,-0.035156,1.082031,1.085418
2026-04-25 15:26:10.074,-0.074219,-0.035156,1.074219,1.077353
2026-04-25 15:26:11.236,-0.078125,-0.03125,1.074219,1.077509
2026-04-25 15:26:12.213,-0.074219,-0.035156,1.070313,1.073459
2026-04-25 15:26:13.958,-0.070313,-0.035156,1.070313,1.073196
2026-04-25 15:26:14.468,-0.082031,-0.03125,1.070313,1.073906
2026-04-25 15:26:15.009,-0.074219,-0.035156,1.070313,1.073459
2026-04-25 15:26:16.409,-0.074219,-0.035156,1.070313,1.073459
2026-04-25 15:26:18.049,-0.074219,-0.035156,1.070313,1.073459
2026-04-25 15:26:20.334,-0.078125,-0.03125,1.070313,1.073615
2026-04-25 15:26:20.338,-0.074219,-0.03125,1.070313,1.073338
2026-04-25 15:26:20.345,-0.078125,-0.027344,1.078125,1.081298
2026-04-25 15:26:21.135,-0.074219,-0.035156,1.074219,1.077353
2026-04-25 15:26:22.247,-0.074219,-0.03125,1.074219,1.077233
2026-04-25 15:26:23.091,-0.074219,-0.035156,1.070313,1.073459
2026-04-25 15:26:24.309,-0.078125,-0.03125,1.074219,1.077509
2026-04-25 15:26:25.216,-0.070313,-0.039063,1.070313,1.073331
2026-04-25 15:26:32.757,-0.078125,-0.035156,1.070313,1.073736
2026-04-25 15:26:32.758,-0.050781,-0.050781,1.066406,1.068822
2026-04-25 15:26:32.759,-0.074219,-0.03125,1.074219,1.077233
2026-04-25 15:26:32.760,-0.082031,-0.015625,1.078125,1.081354
2026-04-25 15:26:32.762,-0.066406,-0.03125,1.070313,1.072826
2026-04-25 15:26:32.769,-0.074219,-0.027344,1.070313,1.073231
2026-04-25 15:26:32.771,-0.074219,-0.035156,1.070313,1.073459
2026-04-25 15:26:33.208,-0.074219,-0.035156,1.070313,1.073459
2026-04-25 15:26:35.977,-0.074219,-0.035156,1.074219,1.077353
2026-04-25 15:26:35.978,-0.074219,-0.03125,1.070313,1.073338
2026-04-25 15:26:36.482,-0.074219,-0.035156,1.082031,1.085143
2026-04-25 15:26:39.042,-0.070313,-0.035156,1.074219,1.077091
2026-04-25 15:26:39.043,-0.078125,-0.03125,1.074219,1.077509
